name,page_title,alliance,zone,place_type,place_class,description,location,loadtext,summary,bosses,related_quests,notable_items,notes
Bewan,Online:Bewan,Aldmeri Dominion,Auridon,Elven Ruin,Delve,"an elven ruin on the western coast of Auridon, just southwest of the town of Dawnbreak containing Sea Viper raiders.",Southwest of Dawnbreak,The high vaulted halls of Bewan were originally built in the Merethic Era as a shrine to Trinimac. Bewan was abandoned early in the First Era when the priesthood moved to the grand Trinimac Chantry outside Skywatch.,Some of the Sea Vipers are acting drunk. Parts of the ruin are flooded with shallow water. Argar's corpse can be found near the delve boss during Ruthless Competition. Rats and snakes are found in numbers within. thumb|Interior of Bewan,,Lost Bet; Through a Veil Darkly,Camandar's Journal; Digging Orders; Warning: I Heard You!,"The large southernmost room of the dungeon was added in Update 16 to be used in the quest Through a Veil Darkly. In Update 17, a few Maormer corpses and passive spiders were added.; Despite the number of quests requiring this dungeon, it is possible to actually do them all in one visit, even for Aldmeri Dominion characters, if one juggles one's prologue quests carefully.; This includes finding the Dusk Mushrooms for The Demon Weapon even as a Covenant or Pact character, since they are available in all three delves, so even though the quest has pointed you to a faction-appropriate one, they can be collected here instead if you're at the right stage of the quest."
Del's Claim,Online:Del's Claim,Aldmeri Dominion,Auridon,Mine,Delve,"a mine in southern Auridon, just northwest of the city of Vulkhel Guard, containing Veiled Heritance members.",Northwest of Vulkhel Guard,"No one believed the old ouster Del when he staggered into Vulkhel Guard and claimed he'd found a huge deposit of lapis lazuli in the hills, but it turned out to be true, and now Del's Claim is one of the most profitable mines on Auridon.",The miners were all slain when the heritants moved in. They plan to use it as a secure base of operations.,,Repentant Son; The Wing of the Indrik,,
Entila's Folly,Online:Entila's Folly,Aldmeri Dominion,Auridon,Mine,Delve,"an abandoned mine in central Auridon, just southwest of the city of Skywatch containing spiders and giant wasps.",Southwest of Skywatch,"Kinlady Entila of Clan Auralus had a vivid dream that beneath the coastal cliffs near Skywatch was a fabulous fist-sized gem, the Egg of the World. Based on the directions in her vision, she hired a score of miners to dig until they found it. The funds of Clan Auralus ran out first.",thumb|right|The interior of Entila's Folly,,Tempting Fates,,The spiders that ambush you by dropping from the ceiling throughout the delve are immune to damage until their descent animation is fully completed.
Mehrunes' Spite,Online:Mehrunes' Spite,Aldmeri Dominion,Auridon,Daedric Ruin,Delve,"a Daedric ruin in the northwestern corner of Auridon, just west of the city of Firsthold containing Daedra and Veiled Heritance members.",West of Firsthold,"Before the followers of the Prophet Veloth left Summerset for Morrowind, they built several secret shrines for illicit worship of the Daedric Princes. It is believed that after the Chimer left Summerset, all of these heretical shrines were found and destroyed.","Butterflies, frogs and rats are found in numbers within.",,Take Me Home; Veiled Darkness in Auridon,,
Ondil,Online:Ondil,Aldmeri Dominion,Auridon,Elven Ruin,Delve,"an Aldmeri ruin in the center of Auridon, just south of the town of Mathiisen containing a local vampire and his minions.",South of Mathiisen,"Now ruined, the subterranean halls of Ondil were built in the early First Era to house Kinlady Fiorallelle's extensive collection of ceramic figurines. It was abandoned before completion when its alignment with the constellation of the Atronach was found to be seven percent off true.","There is a chest south of the ruins, beside a wall.thumb|right|Ondil's library chamber During the quest Long Lost Lore, a Forgotten Tome can be found here if your character is of the Dominion.",,Getting the Band Together; Long Lost Lore; Eye of Fate; The Wing of the Indrik,,
Wansalen,Online:Wansalen,Aldmeri Dominion,Auridon,Elven Ruin,Delve,"an Aldmeri ruin in northeastern Auridon, on the western edge of Quendeluun containing Ebonheart Pact soldiers and undead.","On the western edge of Quendeluun, near the northeastern shore of Auridon","Legend has it that the excavation of Wansalen was halted, and the halls abandoned, when the Elven miners roused and angered an ancient rock-spirit called a Gheatus. But the wise Sapiarchs of the Crystal Tower dismiss this story as a fable with no truth to it.","The tunnels are off limits to the First Auridon Marines as they are prone to collapse. As a result, forces of the Pact have been using the tunnels as a base of operations on Auridon. To reach the skyshard, go straight into the large room with two staircases, follow the watery path south, and head to the corner of the west room between two guards.",,,,
Burroot Kwama Mine,Online:Burroot Kwama Mine,Aldmeri Dominion,Grahtwood,Mine,Delve,"a kwama mine located just west of Elden Root in Grahtwood, containing thunderbugs.",Just west of Elden Root,"Expatriates often try to bring beloved aspects of their culture with them when they emigrate. So it was with Llevyn Buratil of Narsis in Morrowind, who tried to establish a kwama mine in Grahtwood. The experiment was less than a resounding success.",The thunderbugs infesting the mine have killed many of the kwama within. They are led by a massive thunderbug named Stormhead the Ravenous. Some notes can be found here. Scribs are found inside and just outside.,,Caring for Kwama,,
Mobar Mine,Online:Mobar Mine,Aldmeri Dominion,Grahtwood,Cave,Delve,a mine just south of Elden Root in Grahtwood containing bandits.,South of Elden Root,"With the flurry of construction going on in nearby Elden Root, the Foriniel Brothers have reopened Mobar Mine to supply the builders with clay for making bricks. Strangely, no one has heard from the Foriniels in over a week.","It was opened to help provide building materials for Elden Root, but no one has heard from the owners in some time. Enslaved Miners can be found within.",,Wanted: Sgolag,,
Ne Salas,Online:Ne Salas,Aldmeri Dominion,Grahtwood,Elven Ruin,Delve,"an Ayleid ruin south of Elden Root and west of Haven in Grahtwood, containing Daggerfall Covenant soldiers.","South of Elden Root, west of Haven","The Ayleids who fled to Valenwood after the Slave Rebellion were mostly those who worshiped the Daedric Princes, which was outlawed under Empress Alessia. The Slave Queen melded the Aedra worshiped by her human and remaining Elven subjects to create the Eight Divines.","The ruin is connected to Salas En in Alik'r by way of an ancient portal system which forms the basis of two related quests. The portal is not usable. You'll find Cirmo and Aldmeri Dominion forces camped outside the ruin. The containers in the exterior camp, including barrels, crates and a backpack, are all owned. Three dead Wood Elf Laborers are lying in front of the entrance, near a cooking fire. right|thumb|Interior",,Passage Denied; A Mortal's Touch,,
The Scuttle Pit,Online:The Scuttle Pit,Aldmeri Dominion,Grahtwood,Cave,Delve,"a cave in eastern Grahtwood, north of Haven and east of Elden Root containing spiders.",North of Haven and east of Elden Root,"The spiders of Tamriel are fearsome carnivores that prey on everything they can catch, even each other. They have adapted to every environment, both above and below ground, and there seems to be no limit as to how large they can grow.",Two dead Giant Spiders can be found in the delve: One at the bottom level of the second large room and one behind the Spider Queen.,,A Silken Garb; Anti-Venom Agitation,,
Vinedeath Cave,Online:Vinedeath Cave,Aldmeri Dominion,Grahtwood,Cave,Delve,"a cave in northeastern Grahtwood, east of Elden Root containing spriggans and stranglers.",Northeastern Grahtwood,"The strangler is a carnivorous plant that lurks in the shadows of the forest floor. Its tentacles excrete a sticky, sweet substance that attracts prey. The strangler reacts to warmth and movement by lashing out with its tentacles and drawing what it captures into its hungry maw.","The corpse of Storgh, an Orc and Orthelos's friend, can be found in the southeast chamber. A Scrap of Storgh's Journal is located next to his corpse, while the skyshard sits across from it. A chest can spawn near the tunnel leading out west from the room with Storgh's corpse in it, between a large root and the wall. The delve's boss is located in the southwest chamber. A chest can spawn atop a rocky ledge behind the boss, where the fog accumulates near a rack of large ribs.",,Storgh's Bow,,The cave is mentioned in Garick's Message as a place not suitable as a hideout due to its haunted nature. Reading the note adds a marker to your map for this location.
Wormroot Depths,Online:Wormroot Depths,Aldmeri Dominion,Grahtwood,Elven Ruin,Delve,an Ayleid ruin in the northwest corner of Grahtwood containing Daedra.,Northwest corner of Grahtwood,"Regarded by scholars of the arcane as the apex achievement of the Wild Elves' magical art, the so-called Ayleid Wells are believed to use Aetherial crystal to aggregate magicka from starlight—even in subterranean locations.",They are led by a dremora named Raynia. This delve can be discovered by reading a note at Nazura's Nibbles in the Redfur Trading Post.,,Ayleid Trinkets in Grahtwood; The Demon Weapon; Light in the Darkness,,"Archibert Dantaine erroneously states the Worm Cult occupies the ruins. His information is more likely out of date than outright incorrect: it clearly *was* once a Worm Cult lair, because Mannimarco has used it to stash some copies of his records from the interrogation of Sai Sahan. But there are no actual cultists or summoned undead present when the player visits, only Daedra.; Aside from the delve's regular quest (Light in the Darkness), and the Undaunted daily (Ayleid Trinkets in Grahtwood), Aldmeri Dominion characters can be sent here twice by Abnur Tharn, in both the Main Quest (The Tharn Speaks) and the Elsweyr prologue (The Demon Weapon). However, since it is impossible to be on both of these quests simultaneously since being on one of them prevents the other from starting, it is impossible to fulfill all the quest-related visits to this dungeon in a single visit; it must be visited twice. Covenant and Pact characters are unaffected by this, since they are sent elsewhere during the Main Quest."
Barrow Trench,Online:Barrow Trench,Aldmeri Dominion,Greenshade,Mine,Delve,"a mine in northwestern Greenshade, north of Moonhenge containing bandits.",North of Moonhenge,"Some caverns are prized, not for the ore that can be mined from them, but for the exotic fungus that grows within them. Barrow Trench is the latter sort.","A skyshard is located east of the delve, along the base of the cliff. They are mining ore throughout and are led by Overseer Basri. There is a camp with a cooking fire outside the delve. There is a Delivery Contract at the delve's entrance that grants the related quest. A note lies on the picnic table in the center of the northern chamber. The delve's boss is located atop a wooden platform in the southern side of the southwestern chamber. The delve's skyshard is located outside the one-way exit outside the eastern side of the southwestern chamber. Rats are found in number within.",,The Unfilled Order,,
Carac Dena,Online:Carac Dena,Aldmeri Dominion,Greenshade,Elven Ruin,Delve,"an Ayleid ruin in southern Greenshade, south of the Labyrinth containing ogres.",South of the Labyrinth,"Though abandoned thousands of years ago, many Ayleid ruins are still lit by the blue glowing varla and welkynd stones found in them. These stones are among the so-called ""Aetherial Crystals,"" gems that can store, transform, and emit magicka.",The tribe has recently moved into the ruin and is led by Urrumaz the Terrifying. Fleshflies are found in numbers within.,,,,"The ogres with white fur and face paint in the ruins have a much lower health pool compared to the ogres found elsewhere in the game, including the other kind in the ruins, thus they pose little threat."
Gurzag's Mine,Online:Gurzag's Mine,Aldmeri Dominion,Greenshade,Mine,Delve,"a mine in eastern Greenshade, south of Marbruk containing undead.",South of Marbruk,"One of the reasons the Wood Elves tolerate the presence of Orc clans in Valenwood is that the Wood Orcs are nearly as talented at forging metal as their northern cousins. Bosmer who follow the Green Pact still have a use for metal tools and weapons, and buy them from the Orcs.","They are led by the wraith Retribution. The curse in the mine was brought forth due to the nearby Wood Orcs buying an axe from Forthor, who actually applied the curse himself on the axe with the effects of attracting spirits and undead to it. Fleshflies are found in number within.",,Forthor's Cursed Axe,,
Harridan's Lair,Online:Harridan's Lair,Aldmeri Dominion,Greenshade,Cave,Delve,"a cave in eastern Greenshade, northwest of Marbruk containing senche-tigers.",Northwest of Marbruk,"According to the Spinners in Marbruk, these cliffs were once inhabited by a flock of the rare, and possibly extinct, cockatiel harpies. They were said to kidnap young male hunters as mates, thus the saying about the lovestruck, ""He's carried off to Harridan's.""","The pride that lives in the cave is led by the matriarch, Razorclaw. Torchbugs and an unusually high amount of frogs are found in numbers within.",,,,"The Letter from Bashshi-ra, found in Woodhearth, marks this location on your map.; In order to get the achievement, you not only have to kill Razorclaw, but the two Senche-Tigers accompanying her."
Naril Nagaia,Online:Naril Nagaia,Aldmeri Dominion,Greenshade,Elven Ruin,Delve,"an Ayleid ruin in southwestern Greenshade, east of Woodhearth, containing Veiled Heritance members.",East of Woodhearth,"These ruins have a bad reputation in nearby Woodhearth—which is not surprising, considering their name in Ayleidoon means ""final death.""","The heritants cell here is led by Archmage Camaano. A chest can be found on an altar in the westernmost chamber, in the southeastern section of the room. The skyhard can be found in the southwestern chamber. Many Heritance members lay dead in the southern chambers. Mercano's Journal can be found in the southeastern chamber, next to Archmage Camaano. Fleshflies and Spiders are found in numbers within.",,Culinary Justice in Greenshade; A Friend In Need; The Misuses of Knowledge,,"The name of the ruin means ""final death"" in Ayleidoon."
The Underroot,Online:The Underroot,Aldmeri Dominion,Greenshade,Cave,Delve,"a cave in western Greenshade, southeast of the Seaside Sanctuary containing lamia.",Southeast of the Seaside Sanctuary,"When Valenwood was conquered by Emperor Reman II late in the First Era, the princes of the Camoran Dynasty were exiled and the province was reorganized into nine small, semi-autonomous kingdoms. This bolstered local pride, and made Valenwood easier to govern.","The group is led by Domina Ssaranth. According to a Blood-Spattered Love Note found in the cave, The Underroot was not only used as a trysting spot, but the Lamia were thought to be friendly. Two passive senches are found near the boss' room. Snakes and torchbugs are found in number within.",,,,
Black Vine Ruins,Online:Black Vine Ruins,Aldmeri Dominion,Malabal Tor,Elven Ruin,Delve,"a set of Ayleid ruins in northeastern Malabal Tor, west of the Baandari Trading Post containing Red Sun bandits and stranglers.",West of the Baandari Trading Post,"The name of the long-dead Ayleid clan that built these halls has been forgotten. Their latter-day name is Black Vine, for the writhing, dark vines that spill from the crumbling arches and doorways.","A Blackvine Strangler can be found deep within the ruin. Rats and spiders are found in numbers within. Black Vine Villa lies east of the ruins, and the Silvenar Vale Dolmen lies to the south. thumb|right|In the ruins",,Brothers and Bandits; The Demon Weapon,,
Dead Man's Drop,Online:Dead Man's Drop,Aldmeri Dominion,Malabal Tor,Cave,Delve,"a mine in eastern Malabal Tor, on the shore east of Fuller's Break containing Ra Gada pirates.",East of Fuller's Break,"Thanks to the Green Pact, the more industrious Wood Orcs of Valenwood have prospered by mining coal and kindlepitch and selling it to the Bosmer, who won't cut down trees for wood to burn, but still need to fire their forges. Dead Man's Drop is one such mine.","They are led by Captain Shammin. Centipedes, rats and spiders are found in numbers within.",,An Apocalyptic Situation; A Nord in Need,,"The book Dead Man's Drop, found in the Velyn Harbor Mages Guild, marks this location on your map."
Hoarvor Pit,Online:Hoarvor Pit,Aldmeri Dominion,Malabal Tor,Cave,Delve,"a cave in central Malabal Tor, southwest of Vulkwasten containing hostile wildlife.",Southwest of Vulkwasten,"The hoarvor, a colossal, blood-sucking tick, is one of the most repulsive creatures in all of Tamriel. To anyone who knows the Bosmer, it will come as no surprise that many have a perverse admiration for the hoarvor, adopting the gross insect as a sort of mascot.","thumb|right|Inside the pit An ogrim named Oghezai is bound deep within the cave, being fed on by the blood-sucking hoarvors that inhabit it. The hoarvors also feed on dead senche, crocodiles, and Bosmer. A small valley is found in the northern part, infested with crocodiles. Centipedes, lizards, spiders and torchbugs are found in numbers within. A copy of Horrors of the Strid Basin can be found in a tunnel leading to the second floor in the southern portion of the delve. A copy of the Lorebook A Nereid Stole My Husband can be found on the second floor, in the tunnel west of Oghezai's chamber. A note can be found in the round chamber at the western end of this tunnel, where it turns north towards the northernmost chamber. A chest can also be found in this portion of the tunnel. The skyshard can be found in the northernmost chamber. A chest can be found east of the skyshard. Another chest can be found further east, near the mouth of the cave leading into the tunnel heading back towards t",,Eye of Fate,,"The letter She Dared Me, found in the Dra'bul Chieftain's Longhouse, marks this location on your map."
Roots of Silvenar,Online:Roots of Silvenar,Aldmeri Dominion,Malabal Tor,,,,,,,,,,
Shael Ruins,Online:Shael Ruins,Aldmeri Dominion,Malabal Tor,Elven Ruin,Delve,"a haunted Ayleid ruin in southern Malabal Tor, just north of the Grahtwood gate.",North of the Grahtwood gate,"No one is sure nowadays which of the Daedric Princes were worshiped by the Ayleid clan who built the haunted corridors of Shael, but it was certainly one of the more malefic of the Lords of Oblivion. Specters are the residents that walk its halls.",It can be found south of Abamath. Rats and spiders are found in numbers within.,,The Spirit Trap in Malabal Tor,,
